price,county,size,elevation,sewer,date,flood,distance,lprice,n
4.5,1,138.39999,10,3000,-103,0,0.30000001,0.65321251,1
10.6,1,52,4,0,-103,0,2.5,1.0253059,2
1.7,0,16.1,0,2640,-98,1,10.3,0.23044893,3
5,0,1695.2,1,3500,-93,0,14,0.69897,4
5,0,845,1,1000,-92,1,14,0.69897,5
3.3,1,6.9000001,2,10000,-86,0,0,0.51851393,6
5.6999998,1,105.9,4,0,-68,0,0,0.75587484,7
6.1999998,1,56.599998,4,0,-64,0,0,0.79239168,8
19.4,1,51.400002,20,1300,-63,0,1.2,1.2878017,9
3.2,1,22.1,0,6000,-62,0,0,0.50514998,10
4.6999998,1,22.1,0,6000,-61,0,0,0.67209784,11
6.9000001,1,27.700001,3,4500,-60,0,0,0.8388491,12
8.1000004,1,18.6,5,5000,-59,0,0.5,0.90848504,13
11.6,1,69.900002,8,0,-59,0,4.4000001,1.064458,14
19.299999,1,145.7,10,0,-59,0,4.1999998,1.2855573,15
11.7,1,77.199997,9,0,-59,0,4.5,1.0681859,16
13.3,1,26.200001,8,0,-59,0,4.6999998,1.1238516,17
15.1,1,102.3,6,0,-59,0,4.9000001,1.178977,18
12.4,1,49.5,11,0,-59,0,4.5999999,1.0934217,19
15.3,1,12.2,8,0,-59,0,5,1.1846914,20
12.2,0,320.60001,0,4000,-54,0,16.5,1.0863598,21
18.1,1,9.8999996,5,0,-54,0,5.1999998,1.2576786,22
16.799999,1,15.3,2,0,-53,0,5.5,1.2253093,23
5.9000001,0,55.200001,0,1320,-49,1,11.9,0.77085202,24
4,0,116.2,2,900,-45,1,5.5,0.60205999,25
37.200001,0,15,5,0,-39,0,7.1999998,1.5705429,26
18.200001,0,23.4,5,4420,-39,0,5.5,1.2600714,27
15.1,0,132.8,2,2640,-35,0,10.2,1.178977,28
22.9,0,12,5,3400,-16,0,5.5,1.3598355,29
15.2,0,67,2,900,-5,1,5.5,1.1818436,30
21.9,0,30.799999,2,900,-4,0,5.5,1.3404441,31
