obs,CPR,RQR,YPDR,TCR
1980.1,622669.66,257515.57,755878.78,3.18
1980.2,656003.88,264988.73,752659.18,3.13
1980.3,685265.25,269365.61,744801.19,3.03
1980.4,704087.88,284955.72,801680.14,2.97
1981.1,669779.53,287954.77,817319.09,2.84
1981.2,705334.53,306438.23,828371.37,2.82
1981.3,735406.24,320014.9,805993.67,2.84
1981.4,741145.21,332162.21,856771.16,2.81
1982.1,700813.64,355151.96,836780.75,3.42
1982.2,717005.55,329467.34,826951.91,4.03
1982.3,706672.17,317785.57,795470.48,4.56
1982.4,698525.88,308598.64,811759.73,4.48
1983.1,650790.5,271066.65,803320.72,4.87
1983.2,679915.92,258082.17,789757.87,4.75
1983.3,687656.41,263054.48,764276.68,4.7
1983.4,686710.95,271973.78,806153.86,4.62
1984.1,670203.52,269164.96,830479.77,4.34
1984.2,692880.84,268942.43,812778.61,4.19
1984.3,715406.14,273121.75,800589.66,4.14
1984.4,703133.58,285797.54,830100.97,4.04
1985.1,691959.75,278633.77,845409.53,3.77
1985.2,721202.53,278999.08,845054.24,3.79
1985.3,731260.49,281378.36,813892.58,4.34
1985.4,721416.78,274409.31,849840.11,4.65
1986.1,688204.52,258467.55,820628.54,4.89
1986.2,716682.99,257031.23,840400.95,5.17
1986.3,707108.34,256113.81,772418.25,5.54
1986.4,692840.29,269506.41,813479.17,5.81
1987.1,657738.85,277360.13,812856.28,5.78
1987.2,708041.31,283744.86,843850.13,5.68
1987.3,719141.01,287041.02,796120.57,5.43
1987.4,724679.62,280684.36,855320.6,5.2
1988.1,672262.52,252680.1,834575.8,4.78
1988.2,710845.6,267613.21,854046.8,4.41
1988.3,716630.2,263132.24,799259.39,4.27
1988.4,746074.19,281594.17,867946.65,4.19
1989.1,714711.79,293541.01,859009.43,4.09
1989.2,773052.67,310033,894196.13,4.15
1989.3,784973.79,333738.53,843125.26,4.2
1989.4,780341.21,354932.41,896285.08,4.21
1990.1,754406.27,352161.97,892604.47,4.03
1990.2,808002.71,369719.26,934981.05,3.99
1990.3,838931.12,381995.38,889889.07,3.95
1990.4,848004,404554.64,962589.16,3.88
1991.1,783901.99,409329.33,933329.45,3.69
1991.2,852071.39,430837.71,981820.31,3.63
1991.3,867844.26,437701.25,918277.51,3.61
1991.4,897554.91,450445.55,1000744.02,3.51
1992.1,818616.79,443679.27,975988.96,3.35
1992.2,893219.89,447532.7,1007555.11,3.32
1992.3,906955.06,451118.85,958306.39,3.28
1992.4,941726.36,472486.11,1028607.95,3.25
1993.1,897029.06,495617.51,1005263.96,3.16
1993.2,902693.18,516769.09,1014620.96,3.13
1993.3,895346.61,530718.22,973658.76,3.1
1993.4,933207.77,553571.98,1050608.48,3.08
1994.1,918003.59,580689.71,1027436.88,3.08
1994.2,956209.54,578320,1070252.81,3.22
1994.3,939831.54,589366.32,1018217.48,3.25
1994.4,988635.47,626517.08,1104245.55,3.4
1995.1,887916.14,607586.66,1018323.64,5.18
1995.2,854404.47,517861.13,967239.39,4.58
1995.3,848686.5,504470.56,932833.17,4.31
1995.4,897618.76,519514.37,1023285.45,4.79
1996.1,868736.34,511034.21,1018860,4.54
1996.2,878233.12,509943.57,1033707.33,4.26
1996.3,875418.45,516108.9,1002125.76,4.14
1996.4,937754.67,532437.99,1095428.59,4.11
1997.1,887254.08,548660.12,1069623.75,3.89
1997.2,950626.44,567997.86,1123386.3,3.8
1997.3,940579.17,578073.57,1079927.95,3.67
1997.4,1007977.49,596459.83,1173175.71,3.69
1998.1,963077.35,594183.25,1152403,3.66
1998.2,1005845.53,605807.58,1171819.87,3.67
1998.3,994129.73,610258.84,1136266.2,3.9
1998.4,1025672.59,617850.88,1205113.04,3.95
1999.1,978525.52,618867.09,1173786.91,3.72
1999.2,1039474.28,633830.06,1212877.66,3.47
1999.3,1035155.32,655890.14,1188100.02,3.39
1999.4,1099456.95,671967.61,1271036.38,3.37
2000.1,1058679.42,636787.65,1259795.94,3.28
2000.2,1128676.87,677733.77,1303437.6,3.31
2000.3,1125997.71,693186.39,1273988.76,3.22
2000.4,1170851.25,669718.02,1329702.07,3.21
2001.1,1126403.57,677853.31,1289098.02,3.25
2001.2,1172621.63,690784.9,1306958.49,3.08
2001.3,1143376.78,718270.91,1256357.83,3.07
2001.4,1186378.06,739957.96,1311659.87,3.03
2002.1,1106925.63,743661.5,1265438.74,2.96
2002.2,1205980.83,751074.11,1335538.82,3.06
2002.3,1164410,781570.98,1277667,3.26
2002.4,1213524,808604.04,1343183,3.01
2003.1,1150610,803990.46,1306291,3.1
2003.2,1238314,818772.66,1354562,3.4
2003.3,1200142,854935.04,1313379,3.35
2003.4,1257638,913690.93,1410397,3.13
