time,t,air
1949,1,112
1949,2,118
1949,3,132
1949,4,129
1949,5,121
1949,6,135
1949,7,148
1949,8,148
1949,9,136
1949,10,119
1949,11,104
1949,12,118
1950,13,115
1950,14,126
1950,15,141
1950,16,135
1950,17,125
1950,18,149
1950,19,170
1950,20,170
1950,21,158
1950,22,133
1950,23,114
1950,24,140
1951,25,145
1951,26,150
1951,27,178
1951,28,163
1951,29,172
1951,30,178
1951,31,199
1951,32,199
1951,33,184
1951,34,162
1951,35,146
1951,36,166
1952,37,171
1952,38,180
1952,39,193
1952,40,181
1952,41,183
1952,42,218
1952,43,230
1952,44,242
1952,45,209
1952,46,191
1952,47,172
1952,48,194
1953,49,196
1953,50,196
1953,51,236
1953,52,235
1953,53,229
1953,54,243
1953,55,264
1953,56,272
1953,57,237
1953,58,211
1953,59,180
1953,60,201
1954,61,204
1954,62,188
1954,63,235
1954,64,227
1954,65,234
1954,66,264
1954,67,302
1954,68,293
1954,69,259
1954,70,229
1954,71,203
1954,72,229
1955,73,242
1955,74,233
1955,75,267
1955,76,269
1955,77,270
1955,78,315
1955,79,364
1955,80,347
1955,81,312
1955,82,274
1955,83,237
1955,84,278
1956,85,284
1956,86,277
1956,87,317
1956,88,313
1956,89,318
1956,90,374
1956,91,413
1956,92,405
1956,93,355
1956,94,306
1956,95,271
1956,96,306
1957,97,315
1957,98,301
1957,99,356
1957,100,348
1957,101,355
1957,102,422
1957,103,465
1957,104,467
1957,105,404
1957,106,347
1957,107,305
1957,108,336
1958,109,340
1958,110,318
1958,111,362
1958,112,348
1958,113,363
1958,114,435
1958,115,491
1958,116,505
1958,117,404
1958,118,359
1958,119,310
1958,120,337
1959,121,360
1959,122,342
1959,123,406
1959,124,396
1959,125,420
1959,126,472
1959,127,548
1959,128,559
1959,129,463
1959,130,407
1959,131,362
1959,132,405
1960,133,417
1960,134,391
1960,135,419
1960,136,461
1960,137,472
1960,138,535
1960,139,622
1960,140,606
1960,141,508
1960,142,461
1960,143,390
1960,144,432
