perid,pib
1980Q1,7547882.144
1980Q2,7536518.992
1980Q3,7478780.82
1980Q4,8008666.64
1981Q1,8229212.702
1981Q2,8417818.004
1981Q3,8211045.527
1981Q4,8614524.865
1982Q1,8512096.4
1982Q2,8481760.759
1982Q3,8198953.899
1982Q4,8277251.689
1983Q1,8120479.85
1983Q2,7997531.117
1983Q3,7764430.844
1983Q4,8127328.588
1984Q1,8384896.23
1984Q2,8232124.573
1984Q3,8119301.524
1984Q4,8389536.374
1985Q1,8539105.041
1985Q2,8487030.468
1985Q3,8193121.959
1985Q4,8528896.049
1986Q1,8208491.352
1986Q2,8409218.652
1986Q3,7769449.783
1986Q4,8109501.791
1987Q1,8119219.038
1987Q2,8443175.116
1987Q3,8038083.561
1987Q4,8568977.287
1988Q1,8378163.162
1988Q2,8546889.028
1988Q3,8031742.408
1988Q4,8636950.844
1989Q1,8575114.059
1989Q2,8912465.891
1989Q3,8452556.703
1989Q4,8881444.762
1990Q1,8964419.624
1990Q2,9262515.905
1990Q3,8885511.844
1990Q4,9522792.509
1991Q1,9268190.329
1991Q2,9775235.335
1991Q3,9176389.016
1991Q4,9894608.989
1992Q1,9701986.33
1992Q2,9986417.75
1992Q3,9607923.069
1992Q4,10155182.26
1993Q1,10008894.66
1993Q2,10171035.41
1993Q3,10066258.41
1993Q4,10416096.23
1994Q1,10343388.49
1994Q2,10772526.23
1994Q3,10602752.89
1994Q4,10952773.4
1995Q1,10189745.48
1995Q2,9795718.997
1995Q3,9802904.372
1995Q4,10198513.3
1996Q1,10426430.91
1996Q2,10569227.51
1996Q3,10583112.1
1996Q4,11116526.6
1997Q1,10862932.04
1997Q2,11460068.1
1997Q3,11408200.83
1997Q4,11887380.08
1998Q1,11827638.01
1998Q2,12034464.21
1998Q3,11972371.61
1998Q4,12139816.61
1999Q1,12100154.55
1999Q2,12315219.08
1999Q3,12325229.13
1999Q4,12554685.79
2000Q1,12725022.06
2000Q2,12994568.9
2000Q3,13008792.24
2000Q4,13003302.16
2001Q1,12796119.5
2001Q2,12967530.19
2001Q3,12857408.65
2001Q4,12901429.21
2002Q1,12415541.45
2002Q2,13112362.76
2002Q3,12889950.08
2002Q4,13084104.38
2003Q1,12803323.69
2003Q2,13182930.05
2003Q3,12954912.94
2003Q4,13305707.41
2004Q1,13252629.58
2004Q2,13732336
2004Q3,13438260.1
2004Q4,13872034.55
2005Q1,13354787.87
2005Q2,14104833.95
2005Q3,13782144.44
2005Q4,14306523.82
2006Q1,14107960.02
2006Q2,14700503.92
2006Q3,14435867.71
2006Q4,14800897.34
2007Q1,14393727.37
2007Q2,14993339.39
2007Q3,14783298.24
2007Q4,15204938.91
2008Q1,14563428.38
2008Q2,15386334.05
2008Q3,14979494.72
2008Q4,15125053.57
2009Q1,13752148.82
2009Q2,14012937.57
2009Q3,14231941.45
2009Q4,14882965.69
2010Q1,14371721.47
2010Q2,14998399.32
2010Q3,14921452.79
2010Q4,15499605.2
2011Q1,14902733.24
2011Q2,15413046.56
2011Q3,15526015.33
2011Q4,16139539.28
2012Q1,15619752.45
2012Q2,16027465.05
2012Q3,15952811.21
2012Q4,16638865.9
2013Q1,15719787.54
2013Q2,16361864.29
2013Q3,16186108.81
2013Q4,16840987.68
2014Q1,16162068.2
2014Q2,16743444.57
2014Q3,16649895.57
2014Q4,17408791.67
2015Q1,16710213.83
2015Q2,17261227.6
2015Q3,17331655.06
2015Q4,17866336.09
2016Q1,17166339.66
2016Q2,17780990.74
2016Q3,17625602.45
2016Q4,18416024.08
2017Q1,17757880.98
2017Q2,18085472.86
2017Q3,17900776.07
2017Q4,18744915.36
2018Q1,18017126.58
2018Q2,18667812.27
2018Q3,18405689.75
2018Q4,18989547.4
2019Q1,18247589.15
2019Q2,18474906.1
2019Q3,18376100.53
2019Q4,18850755.01
